id,name,slug,region,lat,lng,tideStationId,tideId,tideDistNm,nearestTide,nearestTideNm,currentStationId,curDistNm,resolution,flag
00cfbbf4-636e-4e4d-ad59-e61bcbc9024a,Tom's Shoal: Blind Cast Long Drift,nantucket-sound-tom-s-shoal-blind-cast-long-drift,,41.3679,-70.4411,Boston HW/LW (8443970),8443970,65.2,PENIKESE ISLAND (8448248),22.2,,,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
02b18753-6fc0-4a81-b6e0-e4156295ceed,Billingsgate Shoal: Tube and Worm,cape-cod-bay-billingsgate-shoal-tube-and-worm,,41.8483,-70.134,Barnstable HW/LW (8447335),8447335,10.2,"Barnstable Harbor, Beach Point (8447335)",10.2,ACT1546,9.6,SERVABLE-EXPLICIT,
02c88f2a-4edb-49eb-b673-5ac297fb6d4c,Brewster Flats,cape-cod-bay-brewster-flats,,41.78,-70.075,Barnstable HW/LW (8447335),8447335,10.0,"Barnstable Harbor, Beach Point (8447335)",10.0,ACT1546,9.4,SERVABLE-EXPLICIT,
050b4bef-f056-48ec-a438-7f00b1fe6d97,Cleveland Ledge: Controlled Drifts Over the Rockpiles,buzzards-bay-cleveland-ledge-controlled-drifts-over-the-rockpiles,,41.6338,-70.7053,Boston HW/LW (8443970),8443970,45.9,Buzzards Bay (8447270),7.6,COD0907,0.4,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
0777896c-2b63-4804-b9a2-9dc477a31b3b,Bearses Shoal: Contour Tubes,monomoy-shoals-bearses-shoal-contour-tubes,Monomoy,41.5705,-69.9291,Boston HW/LW (8443970),8443970,68.7,"Barnstable Harbor, Beach Point (8447335)",18.4,ACT1626,4.3,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
0794b76b-ba66-4337-9801-bf6be5482eef,Scorton Ledge: Tube and Worm,cape-cod-bay-scorton-ledge-tube-and-worm,,41.7633,-70.4417,Barnstable HW/LW (8447335),8447335,7.5,"Barnstable Harbor, Beach Point (8447335)",7.5,ACT1546,7.9,SERVABLE-EXPLICIT,
0ab8d4c9-a87f-4cc7-96a3-c2caa7c1200e,The Hooter: Search And Drop Jigging,nantucket-sound-the-hooter-search-and-drop-jigging,,41.2541,-70.4567,Boston HW/LW (8443970),8443970,71.2,PENIKESE ISLAND (8448248),24.0,ACT1706,5.9,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
0d29c852-e312-4d4c-9c0b-fcdf10b335e1,Pollock Rip: Swing Casting,monomoy-shoals-pollock-rip-swing-casting,Monomoy,41.5398,-69.8947,Boston HW/LW (8443970),8443970,71.1,"Barnstable Harbor, Beach Point (8447335)",20.6,ACT1626,5.7,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
0e9d1000-04cf-474c-9cfa-856ddee1d0f6,Noman's Land: South Boulder Casting,vineyard-sound-noman-s-land-south-boulder-casting,,41.2466,-70.8105,Boston HW/LW (8443970),8443970,67.3,PENIKESE ISLAND (8448248),13.2,ACT1866,7.4,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
11495bcf-31de-4089-9dae-895ba561c1bc,Hyannis Inner Harbor (Bismore Park),hyannis-inner-harbor-boat-ramp,,,,,,,,,,,UNSERVABLE-NO-DATA,
1229e043-b758-4d83-a3ae-18d53f7d1d65,Robinson's Hole: Corner at Robinsons,elizabeth-islands-robinson-s-hole-corner-at-robinsons,Elizabeth Islands,41.4067,-70.87,Boston HW/LW (8443970),8443970,57.4,PENIKESE ISLAND (8448248),3.5,COD0913,3.8,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
13122880-b08c-490c-9c0f-379a32f028b5,Noman's Land: Deep Boulder Groundfish,vineyard-sound-noman-s-land-deep-boulder-groundfish,,41.2466,-70.8105,Boston HW/LW (8443970),8443970,67.3,PENIKESE ISLAND (8448248),13.2,ACT1866,7.4,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
14143306-98a9-4535-8495-9a4c9880b4e7,Sankaty Bluff: Chasing The Ledge Runners,nantucket-sound-sankaty-bluff-chasing-the-ledge-runners,,41.2974,-69.9591,Boston HW/LW (8443970),8443970,80.0,"Barnstable Harbor, Beach Point (8447335)",29.4,BOS1111,76.8,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
15b44521-7fc3-4373-aba7-f5ce8c200848,Lucas Shoal: Lucas Drift Jigging,vineyard-sound-lucas-shoal-lucas-drift-jigging,,41.4233,-70.7453,Boston HW/LW (8443970),8443970,57.5,PENIKESE ISLAND (8448248),8.1,ACT1836,4.5,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
16354ae3-7041-4271-879e-77f6e1166d9e,Noman's Land,vineyard-sound-noman-s-land,,41.2664,-70.8162,Boston HW/LW (8443970),8443970,66.1,PENIKESE ISLAND (8448248),12.0,ACT1866,6.2,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
1670b56d-5de3-4432-b73b-fd889afee09c,Elizabeth Islands,elizabeth-islands-elizabeth-islands,Elizabeth Islands,41.4513,-70.7762,Boston HW/LW (8443970),8443970,55.6,PENIKESE ISLAND (8448248),6.5,ACT1841,2.6,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
182661e2-98e2-471c-84b6-35c0ba0f0f22,Quick's Hole,elizabeth-islands-quick-s-hole,Elizabeth Islands,41.4341,-70.8359,Boston HW/LW (8443970),8443970,56.0,PENIKESE ISLAND (8448248),4.0,COD0914,0.8,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
19a1d671-203d-4434-8a40-021dc5f7308f,Banana Shoal: Open Water Southern Edge,elizabeth-islands-banana-shoal-open-water-southern-edge,Elizabeth Islands,41.4232,-70.8312,Penikese Island (8448248),8448248,4.4,PENIKESE ISLAND (8448248),4.4,COD0914,1.4,SERVABLE-EXPLICIT,
1b2261ba-1891-4962-b36c-2483158fd08a,Wasque: Fly Lining The Rips,nantucket-sound-wasque-fly-lining-the-rips,,41.3391,-70.4455,Boston HW/LW (8443970),8443970,66.7,PENIKESE ISLAND (8448248),22.5,BOS1111,64.2,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
1d526006-0a5e-4b02-b440-da131c723419,Prince Cove Marina,prince-cove-marina,,,,,,,,,,,UNSERVABLE-NO-DATA,
1f1c077e-d78b-47f3-94cb-9080aa3cc538,Robinson's Hole: Plugging South Rock,elizabeth-islands-robinson-s-hole-plugging-south-rock,Elizabeth Islands,41.4,-70.885,Boston HW/LW (8443970),8443970,57.7,PENIKESE ISLAND (8448248),3.4,COD0913,4.6,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
201a9bc5-fca8-4f8e-92f6-68587be1e48c,Hedge Fence: Port Hunter And Area Sea Bass,nantucket-sound-hedge-fence-port-hunter-and-area-sea-bass,,41.4967,-70.5536,Boston HW/LW (8443970),8443970,56.0,Buzzards Bay (8447270),15.0,ACT1766,3.5,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
20731252-f26b-402e-b2de-bdb7bf1f2742,Around the Point: Point Contour Tubes,monomoy-shoals-around-the-point-point-contour-tubes,Monomoy,41.632,-69.9531,Boston HW/LW (8443970),8443970,65.4,"Barnstable Harbor, Beach Point (8447335)",15.8,ACT1626,5.8,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
22145415-6ffe-44f8-868d-41d529736a16,Gay Head/Devil's Bridge: Open Water Edge Jigging,vineyard-sound-gay-head-devil-s-bridge-open-water-edge-jigging,,41.3596,-70.8391,Boston HW/LW (8443970),8443970,60.4,PENIKESE ISLAND (8448248),6.6,ACT1866,1.1,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
23353abe-8fc7-40c2-9635-c995192d955e,Tube Track: Cracking the Contour Line Code,,,,,,,,,,,,UNSERVABLE-NO-DATA,
242f6846-bee4-4ccd-aa82-601698e6e3f3,Barnstable Harbor,cape-cod-bay-barnstable-harbor,,41.713,-70.2967,Barnstable HW/LW (8447335),8447335,0.7,"Barnstable Harbor, Beach Point (8447335)",0.7,ACT1546,1.3,SERVABLE-EXPLICIT,
261e1b17-09b6-4a83-a833-c71c373002c1,Gay Head/Devil's Bridge: Open Water Corner Casting,vineyard-sound-gay-head-devil-s-bridge-open-water-corner-casting,,41.3596,-70.8391,Boston HW/LW (8443970),8443970,60.4,PENIKESE ISLAND (8448248),6.6,ACT1866,1.1,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
2672c6b9-6f36-4a19-8003-91d8bde3557d,Billingsgate Shoal: Open Water Pogy Pods,cape-cod-bay-billingsgate-shoal-open-water-pogy-pods,,41.8396,-70.1541,Barnstable HW/LW (8447335),8447335,9.2,"Barnstable Harbor, Beach Point (8447335)",9.2,ACT1546,8.6,SERVABLE-EXPLICIT,
2a9ebb8c-5719-4a5e-b5ad-1d4fd1b043ce,Halfway / L'Hommedieu,nantucket-sound-halfway-l-hommedieu,,41.5081,-70.5845,Boston HW/LW (8443970),8443970,54.9,Buzzards Bay (8447270),14.1,ACT1806,2.2,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
2ae0625f-68f9-4cfa-bc8f-223468493bdb,Squibnocket: Open Water Rollers,vineyard-sound-squibnocket-open-water-rollers,,41.2902,-70.7669,Boston HW/LW (8443970),8443970,65.1,PENIKESE ISLAND (8448248),11.9,ACT1836,11.6,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
2c674879-eba6-4ce9-b1cb-a54cdf8ef4b6,Tube Track,cape-cod-bay-tube-track,,41.78,-70.3,Barnstable HW/LW (8447335),8447335,3.6,"Barnstable Harbor, Beach Point (8447335)",3.6,ACT1546,3.4,SERVABLE-EXPLICIT,
2d71f16c-90ea-46c8-b3d8-4cb066b8a5c6,Quick's Hole: Plugging North Rock,elizabeth-islands-quick-s-hole-plugging-north-rock,Elizabeth Islands,41.435,-70.8383,Boston HW/LW (8443970),8443970,56.0,PENIKESE ISLAND (8448248),3.9,COD0914,0.6,SERVABLE-EXPLICIT,FAR+SUBOPTIMAL
